score,team,phase
51,team 1,Individual
44,team 1,Individual
52,team 1,Group
56,team 10,Individual
46,team 10,Individual
41,team 10,Individual
48,team 10,Individual
53,team 10,Group
41,team 12,Individual
62,team 12,Individual
47,team 12,Individual
44,team 12,Individual
53,team 12,Individual
60,team 12,Group
53,team 13,Individual
55,team 13,Individual
56,team 13,Individual
52,team 13,Individual
43,team 13,Individual
55,team 13,Group
52,team 15,Individual
38,team 15,Individual
61,team 15,Individual
49,team 15,Individual
40,team 15,Individual
48,team 15,Individual
60,team 15,Group
48,team 3,Individual
53,team 3,Individual
53,team 3,Individual
64,team 3,Group
49,team 4,Individual
52,team 4,Individual
55,team 4,Individual
39,team 4,Individual
41,team 4,Individual
61,team 4,Group
61,team 5,Individual
51,team 5,Individual
56,team 5,Individual
50,team 5,Individual
41,team 5,Individual
64,team 5,Group
50,team 7,Individual
31,team 7,Individual
48,team 7,Individual
48,team 7,Individual
62,team 7,Group
43,team 8,Individual
44,team 8,Individual
43,team 8,Individual
53,team 8,Group
45,team 9,Individual
43,team 9,Individual
45,team 9,Individual
62,team 9,Group
